Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
2175,I am a developer by profession,Yes,41.0,10,Monthly,175000.0,13620.0,Pakistan,Pakistani rupee,PKR,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,"Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",Some college/university study without earning a degree,Employed full-time,South Asian,Man,Flex time or a flexible schedule;Specific department or team I’d be working on;Office environment or company culture,Very satisfied,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;JavaScript;Python;SQL,C#;HTML/CSS;JavaScript;PHP;Python;SQL,.NET Core;Keras;Node.js;React Native;TensorFlow;Unreal Engine,,Github;Gitlab;Slack,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Fairly important,Better compensation;Wanting to work with new technologies,"Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,No,No,No,Never,Start a free trial;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,2 to 9 employees,AWS;Docker;Kubernetes;Linux;Microsoft Azure;Windows,Docker;Kubernetes;Linux;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET Core;Django;Drupal;Express;Flask;Laravel;React.js;Vue.js,Django;Drupal;Laravel;Vue.js,Just as welcome now as I felt last year,30.0,30,20
2480,I am a developer by profession,Yes,25.0,16,Monthly,55000.0,4284.0,Pakistan,Pakistani rupee,PKR,Cassandra;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,MySQL;PostgreSQL;SQLite,"Developer, back-end;Developer, front-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development;Family friendliness",Slightly satisfied,I am actively looking for a job,HTML/CSS;JavaScript;Python;Ruby;SQL,HTML/CSS;JavaScript;Ruby;SQL,,.NET;Unity 3D,Jira;Github;Gitlab;Slack;Trello,Github;Slack,Yes,Extremely important,Fairly important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family",Once a year,No,Yes,Yes,Often: 1-2 days per week or more,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Visit another developer community (please name):,Linux-based,10 to 19 employees,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Windows,Linux;MacOS;Windows,,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Django;jQuery;React.js;Ruby on Rails,ASP.NET;jQuery;React.js;Ruby on Rails,Just as welcome now as I felt last year,8.0,9,5
2607,I am a developer by profession,Yes,27.0,18,Monthly,50000.0,3888.0,Pakistan,Pakistani rupee,PKR,Elasticsearch;Firebase;MongoDB;MySQL;PostgreSQL,PostgreSQL;Redis,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;Developer, QA or test;Educator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Middle Eastern;Biracial;South Asian;Multiracial,Man,Office environment or company culture;Opportunities for professional development;Family friendliness,Slightly dissatisfied,I am actively looking for a job,C++;Go;JavaScript;Python;Ruby;SQL,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Ruby;SQL,Flutter;Unity 3D;Unreal Engine,,Jira;Github;Gitlab;Slack;Trello,Jira;Github;Gitlab;Slack;Trello,No,Extremely important,Fairly important,Better compensation;Trouble with my direct manager;Better work/life balance;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,Not sure,No,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Talent (for hiring companies/recruiters),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Linux-based,2 to 9 employees,Linux,Linux,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Multiple times per day,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Django;Flask;jQuery;React.js;Ruby on Rails,jQuery;Ruby on Rails,Not applicable - I did not use Stack Overflow last year,40.0,9,2
2760,I am a student who is learning to code,Yes,24.0,20,,,,Pakistan,,,Firebase;PostgreSQL,Firebase;Microsoft SQL Server;MySQL;PostgreSQL,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",,"I’m not actively looking, but I am open to new opportunities",Dart;JavaScript;Python;TypeScript,Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Flutter,Flutter,Github;Microsoft Azure,"Github;Microsoft Azure;Google Suite (Docs, Meet, etc)",,,,,,Every few months,Yes,,No,,Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow,Linux-based,,Docker;Linux;Microsoft Azure,Android;Docker;Linux;Microsoft Azure;Windows,,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Django;Express;Flask,Angular;Django;Express;Flask;Gatsby;jQuery,Just as welcome now as I felt last year,,4,
3258,I am a developer by profession,Yes,27.0,23,Monthly,50000.0,3888.0,Pakistan,Pakistani rupee,PKR,MariaDB;MongoDB;MySQL;PostgreSQL,MariaDB;MySQL,"Academic researcher;Developer, back-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",Neither satisfied nor dissatisfied,I am actively looking for a job,HTML/CSS;Java;JavaScript;PHP;TypeScript,HTML/CSS;JavaScript;PHP;TypeScript,Node.js,,Github;Facebook Workplace;Trello,Trello,No,Not at all important,Somewhat important,Better compensation;Better work/life balance;Looking to relocate,"Read company media, such as employee blogs or company culture videos",Once a year,No,No,No,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,Windows,20 to 99 employees,,,I have little or no influence,,Yes,"Yes, definitely",A few times per week,Multiple times per day,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Angular.js;Express;jQuery;Laravel;Vue.js,Express;jQuery;Laravel,Somewhat more welcome now than last year,40.0,8,3
3389,I am a developer by profession,Yes,24.0,17,Monthly,110000.0,8556.0,Pakistan,Pakistani rupee,PKR,Cassandra;DynamoDB;Elasticsearch;Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,Elasticsearch;Microsoft SQL Server;MongoDB;Redis,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C#;Dart;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell/PowerShell;C#;C++;HTML/CSS;JavaScript;SQL,.NET Core;Flutter;Node.js;React Native;Teraform,.NET;.NET Core;Node.js,Confluence;Jira;Github;Microsoft Teams;Microsoft Azure;Trello,"Confluence;Jira;Github;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Very important,Having a bad day (or week or month) at work;Curious about other opportunities;Trouble with my teammates;Trouble with leadership at my company;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,Onboarding? What onboarding?,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Meditate;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,10 to 19 employees,AWS;Docker;Kubernetes;Linux;Microsoft Azure,Microsoft Azure;Slack Apps and Integrations;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET Core;Express;Gatsby;React.js;Vue.js,Angular.js;ASP.NET;ASP.NET Core;Express;jQuery;React.js,Not applicable - I did not use Stack Overflow last year,70.0,6,2
5468,I am a developer by profession,No,25.0,18,Monthly,60000.0,4668.0,Pakistan,Pakistani rupee,PKR,Firebase;MongoDB;MySQL;PostgreSQL;SQLite,Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Product manager;Scientist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",JavaScript;Python,Assembly;C#;C++;HTML/CSS;Java;JavaScript;SQL,Node.js;React Native,.NET;Node.js,Github;Gitlab;Slack,Github;Gitlab;Slack;Trello,Yes,Somewhat important,Very important,Curious about other opportunities;Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,Not sure,No,No,Sometimes: 1-2 days per month but less than weekly,,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Linux-based,20 to 99 employees,Linux;Windows,Android;Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Django;Express;React.js,Express;React.js,Just as welcome now as I felt last year,40.0,6,2
5475,I am a developer by profession,No,26.0,18,Monthly,,,Pakistan,United States dollar,USD,Firebase;MongoDB,Firebase;Microsoft SQL Server;MongoDB;MySQL,"Developer, front-end;Developer, full-stack;Educator;Scientist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Very dissatisfied,I am actively looking for a job,HTML/CSS;JavaScript,C#;HTML/CSS;JavaScript;Python,Node.js;React Native;TensorFlow;Unity 3D,Node.js;React Native;TensorFlow,Github;Slack,Github;Slack,No,Somewhat important,Not at all important/not necessary,Having a bad day (or week or month) at work;Curious about other opportunities;Trouble with my direct manager;Wanting to work with new technologies,"Read other media like news articles, founder profiles, etc. about the company",Once a year,No,No,No,Occasionally: 1-2 days per quarter but less than monthly,,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Visit another developer community (please name):,Windows,2 to 9 employees,Android;Google Cloud Platform;Windows;WordPress,Windows;WordPress,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js,jQuery;React.js,Just as welcome now as I felt last year,,9,1
5877,I am a developer by profession,Yes,35.0,18,Monthly,83000.0,6456.0,Pakistan,Pakistani rupee,PKR,MariaDB;MongoDB;MySQL;Redis;SQLite,MariaDB;MySQL;Redis;SQLite,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;DevOps specialist;Educator;System administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,,Man,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;PHP;Ruby;TypeScript,HTML/CSS;JavaScript;PHP,Flutter;Keras;Node.js;TensorFlow;Torch/PyTorch,,,Github;Trello,No,Extremely important,Not at all important/not necessary,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Trouble with leadership at my company;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once every few years,Not sure,No,Yes,Never,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Linux-based,100 to 499 employees,Docker;Kubernetes;Linux;MacOS,Heroku;Linux;Microsoft Azure;WordPress,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per week,Daily or almost daily,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Laravel;Ruby on Rails;Vue.js,Laravel;React.js;Vue.js,Just as welcome now as I felt last year,120.0,20,10
6126,I am a developer by profession,Yes,27.0,16,Monthly,192541.0,14988.0,Pakistan,Pakistani rupee,PKR,DynamoDB;Firebase;Redis,DynamoDB;Firebase;Microsoft SQL Server,"Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Go;JavaScript;Python;TypeScript,Go;JavaScript;TypeScript,Ansible;Flutter;Keras;Node.js;React Native;TensorFlow;Teraform;Torch/PyTorch,Node.js,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",No,Extremely important,Somewhat important,Having a bad day (or week or month) at work;Wanting to share accomplishments with a wider network;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,No,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Linux-based,20 to 99 employees,AWS;Google Cloud Platform;IBM Cloud or Watson;Kubernetes;Linux;Microsoft Azure;Raspberry Pi,AWS;Google Cloud Platform;Linux;Raspberry Pi;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",ASP.NET Core;Express;Gatsby;React.js,Angular.js;jQuery;React.js,Just as welcome now as I felt last year,40.0,10,6
6139,I am a developer by profession,No,26.0,17,,,,Pakistan,Pakistani rupee,PKR,Firebase;IBM DB2;PostgreSQL,Microsoft SQL Server;MySQL,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Java;SQL,C++;HTML/CSS;Java;JavaScript;SQL,,Unity 3D,"Microsoft Azure;Google Suite (Docs, Meet, etc)",Jira;Github;Gitlab;Slack,Not sure,Neutral,Very important,Curious about other opportunities;Better compensation;Trouble with my direct manager;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,No,No,No,Sometimes: 1-2 days per month but less than weekly,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,20 to 99 employees,Docker;Kubernetes;Linux,AWS;Linux;Windows;WordPress,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js,Spring,Just as welcome now as I felt last year,50.0,9,4
6273,I am a developer by profession,Yes,24.0,18,Monthly,85000.0,6612.0,Pakistan,Pakistani rupee,PKR,MongoDB;MySQL;PostgreSQL;Redis,MySQL;PostgreSQL;SQLite,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Java;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;Python,Node.js;React Native,Node.js,Github;Gitlab;Slack;Trello;Stack Overflow for Teams,Jira;Github;Gitlab;Slack;Trello,No,Extremely important,Somewhat important,Curious about other opportunities;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,No,No,No,Rarely: 1-2 days per year or less,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Linux-based,20 to 99 employees,Arduino;AWS;Docker;Kubernetes;Linux,AWS;Docker;Kubernetes;Linux,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Django;React.js;Vue.js,Django;jQuery;React.js;Vue.js,Somewhat more welcome now than last year,40.0,4,2
6293,I am a developer by profession,Yes,30.0,18,Monthly,,,Pakistan,United Arab Emirates dirham,AED,MySQL,MySQL,"Developer, front-end;Developer, game or graphics;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Swift,Swift,,,,Jira;Github;Gitlab;Microsoft Teams;Microsoft Azure,No,Neutral,Somewhat important,Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Every few months,No,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,20 to 99 employees,Android;iOS;WordPress,Android;iOS,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Daily or almost daily,Daily or almost daily,Difficult,Too long,No,"Computer science, computer engineering, or software engineering",,,,40.0,14,10
6327,I am a developer by profession,Yes,,20,,,,Pakistan,Pakistani rupee,PKR,Firebase;MySQL;SQLite,Firebase;MySQL;SQLite,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,Man,Financial performance or funding status of the company or organization;Office environment or company culture;Opportunities for professional development,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Java;Kotlin;PHP,C;C#;HTML/CSS;Java;Kotlin;PHP,,TensorFlow,"Github;Slack;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Github;Slack;Microsoft Azure,Yes,Extremely important,Fairly important,Better work/life balance,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,Yes,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Windows,20 to 99 employees,Android;Arduino,Android;Arduino;Windows,I have some influence,,Yes,"Yes, somewhat",Daily or almost daily,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,Just as welcome now as I felt last year,60.0,2,Less than 1 year
6429,I am a developer by profession,Yes,23.0,18,Monthly,35000.0,2724.0,Pakistan,Pakistani rupee,PKR,,MySQL;SQLite,"Academic researcher;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Educator;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Middle Eastern,Man,"Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",,C++;HTML/CSS;PHP;Python;SQL,Keras;Pandas;TensorFlow;Torch/PyTorch;Unreal Engine,Keras;Pandas;TensorFlow,Trello,Trello,No,Neutral,Fairly important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Growth or leadership opportunities,,Once a year,Not sure,No,Yes,Never,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes),Do other work and come back later,Windows,100 to 499 employees,iOS;Linux;Raspberry Pi;Windows;WordPress,Linux;Raspberry Pi;Windows,I have a great deal of influence,,Yes,"Yes, somewhat",A few times per week,Multiple times per day,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",Django;Vue.js,Django,Just as welcome now as I felt last year,,4,1
